"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2,C3,C6","3","1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C4","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C5,C7,C10,C11,C12,C13","6","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C8,C9","2","220uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_4mm","~"
"IC1","1","TPS7A","","","","SOT95P280X145-5N","https://www.ti.com/lit/ds/symlink/tps7a20.pdf?ts=1603960048570&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DPTPS7A2045PDQNR%2526keyMatch%253DPTPS7A2045PDQNR%2526tisearch%253DSearch-EN-everything"
"IC2","1","74LVC","","","","Custom:74CBTLV3257PW","https://assets.nexperia.com/documents/data-sheet/74LVC1G157.pdf"
"IC3","1","5PB1102","","","","Custom:5PB1102PGGK","https://www.idt.com/document/dst/5pb11xx-family-datasheet"
"J1","1","I2S OUT","","","","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~"
"J2","1","5V POWER","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"R2,R3,R4,R9,R10","5","22R","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"R5","1","0R68","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6,R7,R8,R11","4","10K","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"U1","1","ESP32-S3","","","","Custom:ESP32S3",""
"Y2","1","22.5792MHz","","","","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","http://www.abracon.com/Oscillators/ASV.pdf"
"Y3","1","24.5760Mhz","","","","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","http://www.abracon.com/Oscillators/ASV.pdf"
